1.1295e-05,6.448e-06,-9.3348e-06,-1.0972e-05,6.5801e-06,-6.165e-06,-4.765e-06,4.6518e-06,-4.5943e-07,-8.1602e-07,-7.3404e-06,2.5386e-06,2.9339e-07,8.0461e-06,-3.6543,4.1529,2.3269e+05
26.953,-4.1001,4.3652,-1.0275,-7.4838,-0.78177,-1.074,-10.214,-9.7768,-11.953,-1.1643,7.3256,-8.108,17.039,1.6382,7.9077,2.2963e+05
70.169,-2.1938,3.9694,-3.7403,-13.574,-10.426,-8.445,-20.573,-19.186,-19.949,-7.0917,9.8889,-10.724,31.875,2.934,5.0497,2.6884e+05
82.867,0.99249,0.2418,-10.813,-13.252,-16.218,-16.066,-19.902,-17.565,-17.943,-14.303,7.0668,-12.574,47.467,-0.35766,4.5691,2.0835e+05
69.809,1.5018,3.5863,-10.817,-8.4189,-11.857,-14.556,-19.848,-16.562,-20.66,-13.423,7.2106,-18.131,52.163,-0.58916,7.4908,2.0051e+05
65.938,-4.6961,8.4358,-5.2182,-11.309,-8.5476,-9.9924,-21.874,-21.229,-23.409,-8.9933,8.8549,-18.604,50.645,-2.1243,6.1666,5.8968e+05
69.64,-11.009,4.4616,-8.9622,-18.405,-9.9515,-8.0866,-18.359,-19.331,-14.981,-9.8074,7.3104,-12.532,50.012,-4.249,4.9925,9.7856e+05
58.203,-8.8659,-0.27714,-10.914,-17.031,-10.059,-7.9561,-13.037,-9.9865,-6.8048,-7.8072,5.5074,-8.7788,37.807,-1.3256,4.8544,9.7074e+05
37.485,-0.099869,3.671,-4.1864,-8.5033,-6.0828,-8.8653,-10.816,-2.7174,-5.3249,-3.7998,6.2294,-11.744,14.754,2.912,4.4023,9.1124e+05
25.141,2.1749,5.7573,1.1823,-10.038,-5.4943,-11.104,-3.7812,3.7231,2.4994,-4.233,4.5675,-12.49,2.0953,0.32975,4.5208,9.5083e+05
17.359,-2.7753,2.1729,-2.7199,-15.186,-9.5363,-10.274,6.8241,12.194,13.885,-1.1223,3.3787,-7.138,-7.0618,-4.3824,3.4073,9.4704e+05
10.108,-5.1344,1.1968,-6.0768,-8.4894,-7.8771,-6.2991,9.2797,17.129,12.496,6.1174,3.7616,-5.8714,-20.341,-0.73567,3.863,9.2997e+05
1.3725,-3.8412,1.8406,0.37875,0.3473,0.54761,0.8603,5.6753,11.899,6.0629,4.1887,0.62431,-11.732,-18.224,0.013534,3.1436,9.31e+05
